data,abertura,alta,baixa,fechamento,var_abertura,media_movel_180,media_movel_240,media_movel_360,media_movel_480
2006-01-16,35897.0,36534.0,35891.0,36534.0,118.0,28618.116666666665,28116.895833333332,26700.73611111111,25279.064583333333
2006-01-17,36534.0,36534.0,35817.0,36119.0,637.0,28683.044444444444,28167.4875,26742.76388888889,25309.841666666667
2006-01-18,36115.0,36115.0,35380.0,35805.0,-419.0,28746.4,28217.341666666667,26782.619444444445,25338.214583333334
2006-01-19,35813.0,36979.0,35813.0,36858.0,-302.0,28807.92777777778,28264.0375,26820.825,25366.070833333335
2006-01-20,36857.0,36938.0,36432.0,36695.0,1044.0,28871.144444444446,28313.966666666667,26859.930555555555,25395.89375
2006-01-23,36687.0,36771.0,36213.0,36632.0,-170.0,28933.644444444446,28359.608333333334,26898.130555555555,25425.664583333335
2006-01-24,36632.0,37428.0,36632.0,37400.0,-55.0,28994.972222222223,28402.6,26935.42777777778,25454.327083333334
2006-01-25,36632.0,37428.0,36632.0,37400.0,0.0,29057.0,28445.175,26973.675,25482.741666666665
2006-01-26,37402.0,38031.0,37402.0,38014.0,770.0,29127.205555555556,28489.933333333334,27014.041666666668,25513.425
2006-01-27,38018.0,38804.0,37688.0,37822.0,616.0,29201.2,28537.791666666668,27055.62777777778,25547.477083333335
2006-01-30,37824.0,38276.0,37501.0,38242.0,-194.0,29277.36111111111,28584.5125,27097.963888888888,25583.00625
2006-01-31,38243.0,38456.0,37630.0,38383.0,419.0,29357.13888888889,28633.920833333334,27141.416666666668,25617.3125
2006-02-01,38382.0,38500.0,37886.0,38485.0,139.0,29435.027777777777,28680.9875,27184.46111111111,25653.0375
2006-02-02,38482.0,38508.0,37237.0,37304.0,100.0,29513.205555555556,28729.954166666666,27228.01388888889,25688.166666666668
2006-02-03,37304.0,37609.0,36526.0,37262.0,-1178.0,29582.216666666667,28773.4875,27269.091666666667,25720.25625
2006-02-06,37262.0,37776.0,37229.0,37321.0,-42.0,29651.3,28817.304166666665,27309.575,25751.28125
2006-02-07,37320.0,37376.0,36556.0,36562.0,58.0,29722.383333333335,28859.479166666668,27350.975,25782.68125
2006-02-08,36553.0,36784.0,36183.0,36499.0,-767.0,29790.92777777778,28893.329166666666,27390.244444444445,25813.702083333334
2006-02-09,36501.0,37177.0,36501.0,36882.0,-52.0,29857.37222222222,28926.9875,27429.11388888889,25845.575
2006-02-10,36886.0,37813.0,36633.0,36975.0,385.0,29926.294444444444,28963.45,27468.975,25878.702083333334
2006-02-13,36975.0,37076.0,36114.0,36114.0,89.0,29991.444444444445,29001.970833333333,27509.805555555555,25911.98125
2006-02-14,36117.0,36734.0,35891.0,36627.0,-858.0,30050.838888888888,29034.941666666666,27549.102777777778,25942.341666666667
2006-02-15,36629.0,37447.0,36422.0,37239.0,512.0,30114.283333333333,29068.079166666666,27590.266666666666,25973.795833333334
2006-02-16,37245.0,38268.0,37245.0,38256.0,616.0,30177.033333333333,29100.5,27631.75277777778,26005.46875
